short_name,Year,no_countries-,countries,End year,report_title,full_name,main_org,other_org,link,data_prod,sample_size,domains,pub_freq,Comments
12CS,1959,,12,1962,"Foshay, A.W., Thorndike, R.L., Hotyat, F., Pidgeon, D.A., & Walker, D.A. (1962). Educational Achievement of Thirteen-Year-Olds in Twelve Countries.",Pilot Twelve-Country Study,IEA,IEA,https://www.iea.nl/other-iea-studies,test,,,,"The study was conducted in order to investigate the feasibility of undertaking more extensive investigations of educational achievement. Testing was carried out in the five areas of mathematics, reading comprehension, geography, science, and non-verbal ability. The data were collected in 1959–1960."
FIMS,1964,,,,"Husén, T. (Ed.). (1967). International study of achievement in mathematics: A comparison of twelve countries (Vols. 1–2). Stockholm: Almqvist & Wiksell; Postlethwaite, N. (1967). School organization and student achievement: A study based on achievement in mathematics in twelve countries. Stockholm: Almqvist & Wiksell.",First International Mathematics Study ,IEA,IEA,https://www.iea.nl/other-iea-studies,test,,,,
SSS,1970,,,1971,"Peaker, G.F. (1975). An empirical study of education in twenty-one countries: A technical report. Stockholm: Almqvist & Wiksell.",Six Subject Survey ,IEA,IEA,https://www.iea.nl/other-iea-studies,test,,,,
FISS,1970,,,1971,"Comber, L.C., & Keeves, J.P. (1973). Science education in nineteen countries: An empirical study. Stockholm: Almqvist & Wiksell.",First International Science Study,IEA,IEA,https://www.iea.nl/other-iea-studies,test,,,,
Faure,1972,,,,"Faure, E. (1972). Learning to be: The world of education today and tomorrow. UNESCO. Retrieved from  http://www.unesco.org/education/pdf/15_60.pdf",,UNESCO,,,,,,,
SIMS,1980,,,,Second International Mathematics Study. The implemented and attained mathematics curriculum: A comparison of eighteen countries,Second International Mathematics Study ,IEA,IEA,,test,,,,
IEAP 1,1988,,,,A World of Differences: Technical Report. Report of the International Assessment of Educational Progress. Educational Testing Service. (1989),International Assessment of Educational Progress ,ETS,ETS,https://www.nap.edu/read/9174/chapter/9#50,test,,,,
Delors,1988,,,,"Delors, J. (1998). Learning: The treasure within. UNESCO. Retrieved from https://unesdoc.unesco.org/ark:/48223/pf0000109590",,UNESCO,,,,,,,
PrPr,1989,,,1996,"IEA (1994) Families Speak: Early Childhood Care and Education in 11 Countries. Report of Phase 1 of the IEA Preprimary Project. Oxford: Pergamon Press and Ypsilanti, Michigan: High/Scope Press.",Preprimary Project,IEA,IEA,https://www.nap.edu/read/9174/chapter/14,"observations, interviews",,,,
IRLS,1990,,,1991,"Lundberg, I, Linnakylä (1993) 1993 Teaching Reading Around the World: IEA Reading Literacy Study. January. The International Association for the Evaluation of Educational Achievement, The Hague, The Netherlands.",International Reading Literacy Study,IEA,IEA,,test,,,,
IEAP 2,1990,,,1991,"Mead, N. 1992 Second International Assessment of Educational Progress. Status report prepared for the Board on International Comparative Studies in Education. September.",International Assessment of Educational Progress II ,ETS,ETS,,test,,,,
CNSAUS,1992,,,1994,"Miller JD 1993 Science and technology: Public attitudes and public understanding. Science and Engineering Indicators. National Science Foundation, Washington, D.C.",Cross-national studies of adult understanding of science,IEA,IEA,https://www.nap.edu/read/9174/chapter/6#28,,,,,
ICSMS,1993,,,,"National Centre for Improving Science Education 1994 Content Analysis of National Science and Mathematics Examinations from Seven Countries: Proposal Summary. Symposium Proposal for American Educational Research Association, 1994.",International Compartive Study of Mathematics and Science Tests,The National Center for Improving Science Education,The National Center for Improving Science Education,https://www.nap.edu/read/9174/chapter/10#61,,,,,
IALS,1994,,,,"OECD/Statistics Canada. 1995. Literacy, Economy and Society: Results of the first international Adult Literacy Survey. Paris: OECD.",International Adult Literacy Survey 1,OECD,"OECD, StatCan, ETS, UNESCO",,test,,,,
LES,1995,,,,"Ambach, G.M. 1994 IEA Language Education Study. Status reports presented to the Board on International Comparative Studies in Education. February 6, May 16. Council of Chief State School Officers, Washington, D.C.",Language Ed,IEA,IEA,https://www.nap.edu/read/9174/chapter/12#72,,,,,"The IEA Language Education Study will address these issues systematically in order to develop a comprehensive international information base focused on four purposes:The IEA Language Education Study will address these issues systematically in order to develop a comprehensive international information base focused on four purposes: Page 66 Suggested Citation:""Language Education Study."" National Research Council. 1995. International Comparative Studies in Education: Descriptions of Selected Large-Scale Assessments and Case Studies. Washington, DC: The National Academies Press. doi: 10.17226/9174. ×      To determine the yield of language curricula in different countries. What percentage of students reach a basic, threshold level of proficiency in specific languages? What percentages reach an advanced, fluent proficiency? What differences in yield exist between and within countries?      To describe the scope and content of language curricula in different countries. What are the key features of foreign and second language curricula (number of languages taught, levels of student participation, starting ages, duration, intensity)? What exemplary possibilities for foreign and second language education exist?      To identify the factors related to differences in yield in language curricula. To what extent are the difference in yield at the national level, the school level, and the individual level related to differences in curricula for language education? What is the impact of out-of-school opportunities on the learning and uses of foreign and second languages? To what extent do such relations between yield, curriculum factors, and environmental factors vary within and between countries?      To assess needs and promising options for changes in foreign and second language curricula. Is the yield of language curricula sufficient for societal purposes in specific countries and educational jurisdictions? Which aspects of foreign and second language curricula call for change?"
TIMMS-1,1995,,,,"Mathematics Achievement in the Primary School Years: IEA's Third International Mathematics and Science Study. June 1997. Mullis, Martin, Beaton, Gonzalez, Kelly, Smith",Trends in International Mathematics and Science Study,IEA,IEA,https://timss.bc.edu/timss1995i/TIMSSPublications.html,test,,,,
IALS,1996,,,,"Kirsch, I 2001 The International Adult LiteracySurvey (IALS): Understanding WhatWas Measured, ETS, Princton NJ",International Adult Literacy Survey 2,OECD,"OECD, StatCan, ETS, UNESCO",,test,,,,
CivEd,1995,,,1996,?,Civic Education Study,IEA,IEA,https://www.nap.edu/read/9174/chapter/3#10,test,,,,
CivEd,1997,,,1998,?,Civic Education Study 2,IEA,IEA,https://www.nap.edu/read/9174/chapter/3#10,test,,,,
SITES-M1,1997,,,,"Pelgrum, W. J., & Anderson, R. E. (1999). ICT and the Emerging Paradigm for Life-Long Learning. IEA.",Second Information Technology in Education Study Module 1,IEA,IEA,,test,,,,
IALS,1998,,,,OECD. 1997. Literacy Skills for the Knowledge Society. Paris: OECD.,International Adult Literacy Survey 2,OECD,"OECD, StatCan, ETS, UNESCO",,test,,,,
TIMMS-2,1999,,,,"Schmidt, W. H. (Ed.). (2007). Characterizing pedagogical flow: An investigation of mathematics and science teaching in six countries. Springer Science & Business Media.",Trends in International Mathematics and Science Study,IEA,IEA,,test,,,,
PISA,2000,,,,Organisation for Economic Co-operation and Development. (2003). Literacy skills for the world of tomorrow: further results from PISA 2000. OECD Publishing.,Programme for International Student Assessment 1,OECD,"OECD, ACER",,test,,,,
SITES-M2,2001,,,,"Carstens, R., & Pelgrum, W. J. (2009). Second information technology in education study. SITES 2006 technical report.",Second Information Technology in Education Study,IEA,IEA,,test,,,,
PIRLS 1,2001,,,,"Ogle, L. T., Sen, A., Pahlke, E., Jocelyn, L., Kastberg, D., Roey, S., & Williams, T. (2003). International Comparisons in Fourth-Grade Reading Literacy: Findings from the Progress in International Reading Literacy Study (PIRLS) of 2001.",Progress in International Reading Literacy Study,IEA,IEA,,test,,,,
GEM 1,2002,,,,"United Nations Educational, Scientific, and Cultural Organization. (2002). Education for All: Is the World On Track?.",Education For All Global Monitoring Report ,UNESCO,"UNESCO, UIS",,report,,,,
GEM 2,2002,,,,"UNESCO. (2002). Education for All: Is the World On Track?, UNESCO, Paris",Education For All Global Monitoring Report ,UNESCO,UNESCO,,,,,,
PISA 2,2003,,,,"OECD, Development. Programme for International Student Assessment, ISEI IVEI., OCSE., OECD Staff, Development (OECD) Staff, ... & PISA. (2004). PISA Learning for Tomorrow's World: First Results from PISA 2003 (Vol. 659). Simon and Schuster.",Programme for International Student Assessment 2,OECD,"OECD, ACER",,test,,,,
